1,Mass,Weight,"A Set of Weights, [Class E1 / ASTM 0]",,1 mg to 10 kg,,,110000,,,Charges will be double in case of ASTM standard [E617]
2,Mass,Weight,"A Set of Weights, [Class E1 / ASTM 0]",,1 mg to 200 g,,,90900,,,Charges will be double in case of ASTM standard [E617]
3,Mass,Weight,"A Set of Weights, [Class E1 / ASTM 0]",,1 mg to 5 g,,,75400,,,Charges will be double in case of ASTM standard [E617]
4,Mass,Weight,"A Set of Weights, [Class E1 / ASTM 0]",,1 mg to 500 mg,,,49900,,,Charges will be double in case of ASTM standard [E617]
5,Mass,Weight,"A Set of Weights, [Class E1 / ASTM 0]",,1 g to 200 g,,,44000,,,Charges will be double in case of ASTM standard [E617]
6,Mass,Weight,"Assorted Weight, [Class E1 / ASTM 0]",,"1 mg to 1 kg (per
Decade : 1,1,2,2,5 only)",,,19500,,,Charges will be double in case of ASTM standard [E617]
7,Mass,Weight,"Assorted Weight, [Class E1 / ASTM 0]",,"Above 1 kg to 10 kg (per Decade : 1,1,2,2,5,10 only)",,,26200,,,Charges will be double in case of ASTM standard [E617]
8,Mass,Weight,"Assorted Weight, [Class E1 / ASTM 0]",,20 kg & 50 kg (per weight),,,26200,,,Charges will be double in case of ASTM standard [E617]
9,Mass,Weight,"A Set of Weights, [Class E2 / ASTM 1]",,1 mg to 10 kg,,,52300,,,Charges will be double in case of ASTM standard [E617]
10,Mass,Weight,"A Set of Weights, [Class E2 / ASTM 1]",,1 mg to 200 g,,,40800,,,Charges will be double in case of ASTM standard [E617]
11,Mass,Weight,"A Set of Weights, [Class E2 / ASTM 1]",,1 mg to 5 g,,,27700,,,Charges will be double in case of ASTM standard [E617]
12,Mass,Weight,"A Set of Weights, [Class E2 / ASTM 1]",,1 mg to 500 mg,,,23200,,,Charges will be double in case of ASTM standard [E617]
13,Mass,Weight,"A Set of Weights, [Class E2 / ASTM 1]",,1 g to 200 g,,,19100,,,Charges will be double in case of ASTM standard [E617]
14,Mass,Weight,"Assorted Weight, [Class E2 / ASTM 1]",,1 mg to 1 kg,,,4800,,,Charges will be double in case of ASTM standard [E617]
15,Mass,Weight,"Assorted Weight, [Class E2 / ASTM 1]",,Above 1 kg to 50 kg,,,7800,,,Charges will be double in case of ASTM standard [E617]
16,Mass,Weight,"Assorted Weight, [Class F1 / ASTM 2]",,500 g to 50 kg,,,3900,,,Charges will be double in case of ASTM standard [E617]
17,Mass,Weight,Assorted Weights [Class F2 & lower / ASTM 3 & lower],,Above 50 kg to 500 kg,,,5300,,,Charges will be double in case of ASTM standard [E617]
