1,AC Voltage & Current / *AC-DC Voltage Transfer Difference,Multimeter ,"Digital
Multimeter
",,"1mV to 1000
V 1mA to
20A
","3 Frequencies 7
levels/ *3
Frequencies 5
levels
",143100,44900,"\For each
additional
frequency7levels/
अतिरिक्त आवतृि के तिए/
",,3 to 4 weeks for each parameter in the booked time slot ,8 days
2,AC Voltage & Current / *AC-DC Voltage Transfer Difference,"Calibrator
","Voltage &
Current
Calibrator
","Multifunction
/ Multi
Product
Calibrator
","1mV to 1000
V 1mA to
10A
","3 Frequencies 7
levels/ *3
Frequencies 5
levels
",143100,44900,For each additional frequency/अतिरिक्त आवतृि के तिए ,,3 to 4 weeks for each parameter in the booked time slot ,8 days
3,AC Voltage,Reference Source ,AC Reference Source ,,,3 Frequency ,60900,20400,For each additional frequency/अतिरिक्त आवतृि के तिए ,,3 to 4 weeks for each parameter in the booked time slot ,5 days
4,AC Current,Transconduct ance Amplifier,Transconduct ance Amplifier,AC Current Source,Up to 20A,1 Frequency,44900,44900,"For each
additional
frequency/
अतिरिक्त
आवतृि
के
तिए",,3 to 4 weeks for each parameter in the booked time slot,5 days
5,AC-DC Voltage Transfer Difference,Potentiometer,Micropotentio meter,Low Voltage TVC,1mV to 200 mV,3 Frequency,50700,16900,For each additional frequency/ अतिरिक्त आवतृि के तिए,,3 to 4 weeks for each parameter in the booked time slot,8 days
6,AC-DC Voltage Transfer Difference,Thermal Converter/AC Measurement Standard/,Thermal Voltage Converter,,1mV to 1000V,3 Frequency per voltage level,50700,16900,For each additional frequency/ अतिरिक्त आवतृि के तिए,,3 to 4 weeks for each parameter in the booked time slot,8 days
7,AC-DC Voltage Transfer Difference,Thermal Transfer Standard,Thermal Transfer Standard,,250 mV to 1000 V,1 Frequency,126800,111700,For each additional frequency/ अतिरिक्त आवतृि के तिए,,3 to 4 weeks for each parameter in the booked time slot,7 days
8,AC-DC Voltage Transfer Difference,Thermal Transfer Standard,Thermal Transfer Standard,,2mV to 1000 V,1 Frequency,164100,143100,For each additional frequency/ अतिरिक्त आवतृि के तिए,,3 to 4 weeks for each parameter in the booked time slot,7 days
9,AC-DC Voltage Transfer Difference,Shunt,Current Shunt,,1mA to 20A,3 Frequency,50700,16900,For each additional frequency/ अतिरिक्त आवतृि के तिए,,3 to 4 weeks for each parameter in the booked time slot,7 days
10,AC-DC Voltage & Force,Amplifier with Load cell,Dynamic Strain Meter,,0-5 V and upto 100 kN,"One channel in
one load cell",86400,84600,For each additional channel / load cell,,3 to 4 weeks for each parameter in the booked time slot,6 days
11,AC Voltage,AC Measurement Std,AC Measurement Std,AC Measurement Std,1mV to 1000V,3 Frequencies,143100,44900,For each additional frequency/ अतिरिक्त आवतृि के तिए,,3 to 4 weeks for each parameter in the booked time slot,6 days
12,AC-DC Current Transfer Difference,Current Shunt,AC Measurement Std/+Current Shunt,AC Measurement Std/+Current Shunt,1mA to 20A,3 Frequencies,50700,16900,For each additional frequency/ अतिरिक्त आवतृि के तिए,,3 to 4 weeks for each parameter in the booked time slot,8 days
13,"AC/DC Voltage, Frequency, Time base, DC gain Accuracy, Bandwidth",Handheld CRO,Oscilloscope/ Scope Calibrator,Handheld CRO,10Hz to 1MHz,3 Frequencies,14500,1000,For each additional frequency/ अतिरिक्त आवतृि के तिए,,3 to 4 weeks for each parameter in the booked time slot,5 days
14,"AC/DC Voltage, Frequency, Time base, DC gain Accuracy, Bandwidth",CRO,Oscilloscope/ Scope Calibrator,CRO/DSO/M SO,10Hz to 1MHz,3 Frequencies,35000,1000,For each additional frequency/ अतिरिक्त आवतृि के तिए,,3 to 4 weeks for each parameter in the booked time slot,5 days
