1,Frequency/ आवृत्ति,Frequency Counter/ आवृत्ति काउन्टर,Frequency Counter/ आवृत्ति काउन्टर,Frequency meter/ आवृत्ति मीटर,,6 Frequency points for Frequency / Period,Stability >1.0E-8,41500,6200,For each additional frequency / अतिरिक्त आवृत्ति केलिए,"For 'Basic Oscillator' calibration of this counter, see ""Time & Freqency"" Parameter"
2,Frequency/ आवृत्ति,Frequency Counter/ आवृत्ति काउन्टर,"Universal
Counter/
सार्विक काउन्टर",,,6 Freq. points for Frequency / Period & Time Interval,,57300,9200,For each additional frequency / अतिरिक्त आवृत्ति केलिए,
3,RF Voltage/ रेडियो-आवृत्ति वोल्टे ज,Voltmeter/ वोल्टमीटर,Selective Microvoltmet er/ चयनात्मक माइक्रोवोल्टमीटर,Level Meter/ लेवलमीट,Up to 1000 MHz,6 Frequencies with 50 ohm Input Impedance,,89700,13800,For each additional frequency / अतिरिक्त आवृत्ति केलिए,
4,RF Voltage/ रेडियो-आवृत्ति वोल्टे ज,Voltmeter/ वोल्टमीटर,"RF Millivoltmeter
/ मिलीवोल्टमीटर
",,Up to 1000 MHz,6 Frequencies per probe,,89700,24500,For each additional frequency / अतिरिक्त आवृत्ति केलिए,
5,RF Power & Frequency/ रेडियो-पावर एवं आवृत्त,"Signal
Generator/
संकेतउत्पादक",Synthesizer/ सिंथसाइज़र,Sweep Oscillator/ स्वीपआसलैट र,1 MHz to 18 GHz,"5 frequencies for Power Level, Time Base Accuracy & Frequency Response","Type N
connector",89700,9200,For each additional frequency / अतिरिक्त आवृत्ति केलिए,
6,RF Power & Frequency/ रेडियो-पावर एवं आवृत्त,Spectrum Analyser/ स्पेक्ट्रमविश्लेषक,Spectrum Analyser/ स्पेक्ट्रमविश्लेषक,Wave Analyser/ तरंगविश्लेषक,1 MHz to 18 GHz,"5 frequencies for Power Level, Time Base Accuracy & Frequency Response",Type N connector,89700,9200,For each additional frequency / अतिरिक्त आवृत्ति केलिए,
7,Effective Efficiency / Calibration Factor / RF Power,Power Meter/ पावर मीटर,RF Power Meter with Sensor/ रेडियो- आवृत्ति पावर मीटर संवेदक के साथ,,1 MHz to 18 GHz,3 Frequencies with one Sensor (Effective Efficiency/ Calibration Factor/ RF Power),Type N connector,30900,9200,For each additional frequency / अतिरिक्त आवृत्ति केलिए,"(For VSWR, separate charges under VSWR/reflectio n coefficient parameter)/ वोल्टे ज स्टै न् डींग वेव रेशो/परावर्तन दर के लिए अ तिरिक्त प्रभार व्यय"
8,Effective Efficiency / Calibration Factor,Coaxial Thermistor Mount/ समाक्षीय थर्मिस्टर माउन्ट,"Coaxial
Thermistor
Mount/ समाक्षीय
थर्मिस्टर माउन्ट","Power
Mount/
पावर माउन्ट",1 MHz to 18 GHz,1 Frequency/एक आवृत्ति केलिए,Type N connector,61500,20200,For each additional frequency / अतिरिक्त आवृत्ति केलिए,"(For VSWR, separate charges under VSWR/reflectio n coefficient parameter)/ वोल्टे ज स्टै न् डींग वेव रेशो/परावर्तन दर के लिए अ तिरिक्त प्रभार व्यय"
9,Effective Efficiency / Calibration Factor,RF Power Transfer Standard/ रेडियो- आवृत्ति पावरअंतरण मानक,"RF Power
Transfer
Standard/ रेडियो-
आवृत्ति
पावरअंतरण मानक",,1 MHz to 18 GHz,1 Frequency/एक आवृत्ति केलिए,Type N connector,18800,17800,For each additional frequency / अतिरिक्त आवृत्ति केलिए,"(For VSWR, separate charges under VSWR/reflectio n coefficient parameter)/ वोल्टे ज स्टै न् डींग वेव रेशो/परावर्तन दर के लिए अ तिरिक्त प्रभार व्यय"
10,Effective Efficiency / Calibration Factor,RF Power Transfer Standard/ रेडियो- आवृत्ति पावरअंतरण मानक,RF Power Transfer Standard/ रेडियो- आवृत्ति पावरअंतरण मानक,,1 MHz to 50 GHz,2 Frequency/एक आवृत्ति केलिए,2.4mm connector,81400,40700,For each additional frequency / अतिरिक्त आवृत्ति केलिए,"(For VSWR, separate charges under VSWR/reflectio n coefficient parameter)/ वोल्टे ज स्टै न् डींग वेव रेशो/परावर्तन दर के लिए अ तिरिक्त प्रभार व्यय"
11,Effective Efficiency / Calibration Factor,Power Meter/ पावर मीटर,RF Power Meter with Sensor/ रेडियो- आवृत्ति पावर मीटर संवेदक के साथ,,1 MHz to 50 GHz,3 Frequencies with one Sensor (Effective Efficiency/ Calibration Factor/ RF Power),2.4mm connector,44600,14900,For each additional frequency / अतिरिक्त आवृत्ति केलिए,"(For VSWR, separate charges under VSWR/reflectio n coefficient parameter)/ वोल्टे ज स्टै न् डींग वेव रेशो/परावर्तन दर के लिए अ तिरिक्त प्रभार व्यय"
12,"AC & DC Voltage and Curent at different configuration , Line Frequency, GPS Validation",PMU CAL System,Phasor Measurement Unit Calibrator System/,PMU-CAL,ACV~100 0V ACC~20A DCV~150 DCC~5A GPS Lime Freq,Full Calibration @ pre selected points,Congigurati on of System at CSIR-NPL should be done by USER,1200000,,,
13,PMU Calibration,M Class,Phasor Measurement Unit,PMU,50V to 150V 1A to 5A 50/60 Hz 25/50 fps,One Level/ Freq/reporting rate,Congigurati on of PMU at CSIRNPL should be done by USER,16400,16400,For each additional frequency / अतिरिक्त आवृत्ति केलिए,
14,PMU Calibration,P Class,Phasor Measurement Unit,PMU,50V to 150V 1A to 5A 50/60 Hz 25/50 fps,One Level/ Freq/reporting rate,Congigurati on of PMU at CSIRNPL should be done by USER,15400,15400,For each additional frequency / अतिरिक्त आवृत्ति केलिए,
