1,cd1_01,Mass,Weight,"A Set of Weights, [Class E1 / ASTM 0]",,1 mg to 10 kg,,,
2,cd1_01,Mass,Weight,"A Set of Weights, [Class E1 / ASTM 0]",,1 mg to 200 g,,,
3,cd1_01,Mass,Weight,"A Set of Weights, [Class E1 / ASTM 0]",,1 mg to 5 g,,,
4,cd1_01,Mass,Weight,"A Set of Weights, [Class E1 / ASTM 0]",,1 mg to 500 mg,,,
5,cd1_01,Mass,Weight,"A Set of Weights, [Class E1 / ASTM 0]",,1 g to 200 g,,,
6,cd1_01,Mass,Weight,"Assorted Weight, [Class E1 / ASTM 0]",,"1 mg to 1 kg (per
Decade : 1,1,2,2,5 only)",,,
7,cd1_01,Mass,Weight,"Assorted Weight, [Class E1 / ASTM 0]",,"Above 1 kg to 10 kg (per Decade : 1,1,2,2,5,10 only)",,,
8,cd1_01,Mass,Weight,"Assorted Weight, [Class E1 / ASTM 0]",,20 kg & 50 kg (per weight),,,
9,cd1_01,Mass,Weight,"A Set of Weights, [Class E2 / ASTM 1]",,1 mg to 10 kg,,,
10,cd1_01,Mass,Weight,"A Set of Weights, [Class E2 / ASTM 1]",,1 mg to 200 g,,,
11,cd1_01,Mass,Weight,"A Set of Weights, [Class E2 / ASTM 1]",,1 mg to 5 g,,,
12,cd1_01,Mass,Weight,"A Set of Weights, [Class E2 / ASTM 1]",,1 mg to 500 mg,,,
13,cd1_01,Mass,Weight,"A Set of Weights, [Class E2 / ASTM 1]",,1 g to 200 g,,,
14,cd1_01,Mass,Weight,"Assorted Weight, [Class E2 / ASTM 1]",,1 mg to 1 kg,,,
15,cd1_01,Mass,Weight,"Assorted Weight, [Class E2 / ASTM 1]",,Above 1 kg to 50 kg,,,
16,cd1_01,Mass,Weight,"Assorted Weight, [Class F1 / ASTM 2]",,500 g to 50 kg,,,
17,cd1_01,Mass,Weight,Assorted Weights [Class F2 & lower / ASTM 3 & lower],,Above 50 kg to 500 kg,,,
18,cd1_01,Mass,Weight,Assorted Weights [Class F2 & lower / ASTM 3 & lower],,Above 500 kg to 2000 kg,,,
19,cd1_01,Mass,Weight,Assorted Dead Weight,,1 mg to 2000 kg,,,
20,cd1_01,Mass,Weight,Reference Standard (Set of 28 Weights),,1 mg to 5 kg,,Initial Calibration (including adjustment  aging and final calibration),
21,cd1_01,Mass,Weight,Reference Standard (Set of 28 Weights),,1 mg to 5 kg,,Subsequent (Not Initial) Calibration,
22,cd1_01,Mass,Weight,Secondary Standard (Set of 29 Weights),,1 mg to 10 kg,,Initial Calibration (including adjustment  aging and final calibration),
23,cd1_01,Mass,Weight,Secondary Standard (Set of 29 Weights),,1 mg to 10 kg,,Subsequent (Not Initial) Calibration,
24,cd1_01,Mass,Weighing Instrument,Two Pan Equal-Arm Balance,,Upto 10 kg,,,
25,cd1_01,Mass,Weighing Instrument,Two Pan Equal-Arm Balance,,Above 10 kg to 50 kg,,,
26,cd1_01,Mass,Weighing Instrument,Two Pan Equal-Arm Balance,,Above 50 kg to 500 kg,,,
27,cd1_01,Mass,Weighing Instrument,Electronic Weighing Machine,,Upto 10 kg,,OIML R-76,
28,cd1_01,Mass,Weighing Instrument,Electronic Weighing Machine,,Above 10 kg to 50 kg,,OIML R-76,
29,cd1_01,Mass,Weighing Instrument,Electronic Weighing Machine,,Above 50 kg to 500 kg,,OIML R-76,
30,cd1_01,Mass,Weighing Instrument,Electronic Weighing Machine,,Above 500 kg to 2000 kg,,OIML R-76,
31,cd1_01,Mass,Weighing Instrument,Electronic Weighing Machine,,Above 2000 kg to 3000 kg,,OIML R-76,
32,cd1_01,Mass,Weighing Instrument,Electronic Weighing Machine,,Above 3000 kg to 10000 kg,,OIML R-76,
33,cd1_01,Volume,Pipette,Micro-Pipette,,Syringe,,Single Point,
34,cd1_01,Volume,Pipette,Micro-Pipette,,Syringe,,3 Points (for variable Micro-Pipette),
35,cd1_01,Volume,Volumetric Measure/Glassware,Volumetric Measure/Glassware,,1 mL to 100 mL,,Single Point,At 27 degree C
36,cd1_01,Volume,Volumetric Measure/Glassware,Volumetric Measure/Glassware,,Above 100 mL to 2 L,,Single Point,At 27 degree C
37,cd1_01,Volume,Large Volumetric Measure,Large Volumetric Measure,,Above 2 L to 20 L,,Single Point,At 27 degree C
38,cd1_01,Volume,Large Volumetric Measure,Large Volumetric Measure,,Above 20 L to 50 L,,Single Point,At 27 degree C
39,cd1_01,Volume,Large Volumetric Measure,Large Volumetric Measure,,Above 50 L to 100 L,,Single Point,At 27 degree C
40,cd1_01,Volume,Large Volumetric Measure,Large Volumetric Measure,,Above 100 L to 500 L,,Single Point,At 27 degree C
41,cd1_01,Volume,Large Volumetric Measure,Large Volumetric Measure,,Above 500 L to 2000 L,,Single Point,At 27 degree C
42,cd1_01,Volume,Secondary Standard,Secondary Standard (Set of 9 measures),,10 mL to 5 L,,Initial calibration i.e. adjusting the capacity and final calibration,At 27 degree C
43,cd1_01,Volume,Secondary Standard,Secondary Standard (Set of 9 measures),,10 mL to 5 L,,Subsequent (Not Initial) Calibration,At 27 degree C
44,cd1_01,Density,Glass Hydrometer,Density Hydrometers,,650 to 1400 kg/cubic meter L.C. 0.0005,,4 points as per IS 3104 (Part I & II) at One Temp.,At 15  20 27.5 & 28.89 degree C 
45,cd1_01,Density,Glass Hydrometer,Density Hydrometers,,"650 to 1400
kg/cubic meter
L.C. 0.0002",,"No. of Points for Calibration /
Procedure No.","At 15, 20, 27.5
& 28.89 degree C"
46,cd1_01,Density,Glass Hydrometer,Density Hydrometers,,"Below 650 and
above 1400 kg/cubic meter
L.C. 0.0005",,4 points as per IS 3104 (Part I & II) at One Temp.,"At 15, 20, 27.5
& 28.89 degree C"
47,cd1_01,Density,Glass Hydrometer,Density Hydrometers,,"Below 650 and
above 1400 kg/cubic meter
L.C. 0.0002",,4 points as per IS 3104 (Part I & II) at One Temp.,"At 15, 20, 27.5
& 28.89 degree C"
48,cd1_01,Density,Glass Hydrometer,Specific Gravity Hydrometers,,"0.650 to 1.400
sp.gr. L.C upto 0.001",,4 points at One Temp.,"At 15, 20, 27.5
& 28.89 degree C"
49,cd1_01,Density,Glass Hydrometer,Specific Gravity Hydrometers,,"0.650 to 1.400
sp.gr. L.C upto 0.0005",,4 points at One Temp.,"At 15, 20, 27.5
& 28.89 degree C"
50,cd1_01,Density,Glass Hydrometer,Specific Gravity Hydrometers,,"0.650 to 1.400
sp.gr. L.C = 0.0002",,4 points at One Temp.,"At 15, 20, 27.5
& 28.89 degree C"
51,cd1_01,Density,Glass Hydrometer,Specific Gravity Hydrometers,,"Below 0.650 and
above 1.400 sp.gr.
L.C upto 0.001",,4 points at One Temp.,"At 15, 20, 27.5
& 28.89 degree C"
52,cd1_01,Density,Glass Hydrometer,Specific Gravity Hydrometers,,"Below 0.650 and
above 1.400 sp.gr.
L.C = 0.0002",,4 points at One Temp.,"At 15, 20, 27.5
& 28.89 degree C"
